Prompt,Response,Category
When is CS362 offered?,CS362 is offered every Fall and Spring.,Course Scheduling
When is CS105 offered?,CS105 is offered every Summer.,Course Scheduling
Can I switch to a double major?,"Yes, you can discuss this option with your advisor.",Changing Major
How do I register for next semester?,You can register through the online portal starting in October.,Course Scheduling
Do I need elective credits to graduate?,"Yes, you need at least 20 elective credits.",Graduation Requirements
Can I retake a course for a better grade?,"Yes, you can retake a course, and the new grade will replace the old one.",Academic Policies
How do I register for next semester?,You can register through the online portal starting in October.,Course Scheduling
When is CS433 offered?,CS433 is offered every Summer.,Course Scheduling
What are the steps to change my major?,Fill out a change of major form and get approval from your advisor.,Changing Major
How can I get help with assignments?,You can get help from tutors and your course TA.,Academic Support
Are summer courses available?,"Yes, summer courses are available for selected subjects.",Course Scheduling
Where can I find tutoring services?,Tutoring services are available at the Academic Resource Center.,Academic Support
What are the core requirements for graduation?,"You must complete core courses in Math, Science, and English.",Graduation Requirements
What happens if I fail a course?,You should meet with your advisor to discuss options.,Academic Policies
Is there a study group for CS188?,"Yes, check the bulletin board for study group information for CS188.",Academic Support
How do I register for next semester?,You can register through the online portal starting in October.,Course Scheduling
What is required for the Senior project?,The Senior project requires a comprehensive research or practical project.,Senior Project Requirements
Is there a prerequisite for the Senior Project course?,"Yes, you need to complete all core courses before the Senior Project course.",Senior Project Requirements
What are the steps to change my major?,Fill out a change of major form and get approval from your advisor.,Changing Major
Can I switch to a double major?,"Yes, you can discuss this option with your advisor.",Changing Major
When is CS371 offered?,CS371 is offered every Spring.,Course Scheduling
Can I take CS401 without CS407?,"No, you need to complete CS407 first.",Prerequisites
What happens if I fail a course?,You should meet with your advisor to discuss options.,Academic Policies
Are there prerequisites for CS410?,"Yes, you need to complete CS175 and CS398.",Prerequisites
What is the grading scale?,"The grading scale is A, B, C, D, and F.",Academic Policies
Are summer courses available?,"Yes, summer courses are available for selected subjects.",Course Scheduling
What are the core requirements for graduation?,"You must complete core courses in Math, Science, and English.",Graduation Requirements
Can I switch to a double major?,"Yes, you can discuss this option with your advisor.",Changing Major
Is there a prerequisite for the Senior Project course?,"Yes, you need to complete all core courses before the Senior Project course.",Senior Project Requirements
Do I need elective credits to graduate?,"Yes, you need at least 20 elective credits.",Graduation Requirements
Is there a study group for CS471?,"Yes, check the bulletin board for study group information for CS471.",Academic Support
Can I take CS117 without CS271?,"No, you need to complete CS271 first.",Prerequisites
Can I take CS130 without CS303?,"No, you need to complete CS303 first.",Prerequisites
Is there a study group for CS102?,"Yes, check the bulletin board for study group information for CS102.",Academic Support
Can I take CS383 without CS374?,"No, you need to complete CS374 first.",Prerequisites
Where can I find tutoring services?,Tutoring services are available at the Academic Resource Center.,Academic Support
What is required for the Senior project?,The Senior project requires a comprehensive research or practical project.,Senior Project Requirements
When is CS375 offered?,CS375 is offered every Spring.,Course Scheduling
How many credits do I need to graduate?,You need a total of 140 credits.,Graduation Requirements
What happens if I fail a course?,You should meet with your advisor to discuss options.,Academic Policies
Is there a study group for CS431?,"Yes, check the bulletin board for study group information for CS431.",Academic Support
What happens if I fail a course?,You should meet with your advisor to discuss options.,Academic Policies
When should I take the Senior Project course?,The Senior Project course should be taken in your final semester.,Senior Project Requirements
What is required for the Senior project?,The Senior project requires a comprehensive research or practical project.,Senior Project Requirements
What are the core requirements for graduation?,"You must complete core courses in Math, Science, and English.",Graduation Requirements
What is required for the Senior project?,The Senior project requires a comprehensive research or practical project.,Senior Project Requirements
Can I retake a course for a better grade?,"Yes, you can retake a course, and the new grade will replace the old one.",Academic Policies
What are the core requirements for graduation?,"You must complete core courses in Math, Science, and English.",Graduation Requirements
Can I switch to a double major?,"Yes, you can discuss this option with your advisor.",Changing Major
Do I need elective credits to graduate?,"Yes, you need at least 20 elective credits.",Graduation Requirements
Do I need elective credits to graduate?,"Yes, you need at least 20 elective credits.",Graduation Requirements
What are the core requirements for graduation?,"You must complete core courses in Math, Science, and English.",Graduation Requirements
Is there a prerequisite for the Senior Project course?,"Yes, you need to complete all core courses before the Senior Project course.",Senior Project Requirements
What are the core requirements for graduation?,"You must complete core courses in Math, Science, and English.",Graduation Requirements
What are the steps to change my major?,Fill out a change of major form and get approval from your advisor.,Changing Major
When is CS469 offered?,CS469 is offered every Spring.,Course Scheduling
Do I need elective credits to graduate?,"Yes, you need at least 40 elective credits.",Graduation Requirements
Are summer courses available?,"Yes, summer courses are available for selected subjects.",Course Scheduling
What are the core requirements for graduation?,"You must complete core courses in Math, Science, and English.",Graduation Requirements
How many credits do I need to graduate?,You need a total of 140 credits.,Graduation Requirements
How many credits do I need to graduate?,You need a total of 120 credits.,Graduation Requirements
Do I need elective credits to graduate?,"Yes, you need at least 20 elective credits.",Graduation Requirements
Can I retake a course for a better grade?,"Yes, you can retake a course, and the new grade will replace the old one.",Academic Policies
When should I take the Senior Project course?,The Senior Project course should be taken in your final semester.,Senior Project Requirements
Can I switch to a double major?,"Yes, you can discuss this option with your advisor.",Changing Major
Can I switch to a double major?,"Yes, you can discuss this option with your advisor.",Changing Major
